fix_start,stop,text,global_text,video_path
0,67," No, the patient is sitting up in his room alone."," The patient is sitting up in bed, in his room, alone. The patient appears stable at this time.",/data/video_narration/2023_05_09_heather/clip_04/rt.mp4
67,457, The patient seems stable at this time.," The patient is sitting up in bed, in his room, alone. The patient appears stable at this time.",/data/video_narration/2023_05_09_heather/clip_04/rt.mp4
0,112, The patient is stable and had an exam by a practitioner., The patient is stable and had an exam by a practitioner. The patient is appropriate and cooperative with care team.,/data/video_narration/2023_05_09_heather/clip_05/rt.mp4
112,466, The patient is appropriate and okay with care., The patient is stable and had an exam by a practitioner. The patient is appropriate and cooperative with care team.,/data/video_narration/2023_05_09_heather/clip_05/rt.mp4
0,99, Patient is stable sitting up in bed and having a conversation on the phone., Patient is stable sitting up in bed and having a conversation on the phone. Patient is appropriate.,/data/video_narration/2023_05_09_heather/clip_06/rt.mp4
99,116, Patient can now interact with another patient without us realizing., Patient is stable sitting up in bed and having a conversation on the phone. Patient is appropriate.,/data/video_narration/2023_05_09_heather/clip_06/rt.mp4
0,102," Patient is sitting up in bed, talking on the phone, using it appropriately."," Patient is sitting up in bed, talking on the phone, using it appropriately. Patient is stable.",/data/video_narration/2023_05_09_heather/clip_07/rt.mp4
117,463, Patient is stable.," Patient is sitting up in bed, talking on the phone, using it appropriately. Patient is stable.",/data/video_narration/2023_05_09_heather/clip_07/rt.mp4
0,133, The patient is stable and making a readjustment in bed for his comfort., The patient is stable and making a readjustment in bed for his comfort.,/data/video_narration/2023_05_09_heather/clip_08/rt.mp4
0,60, The patient is appropriate and stable., The patient is appropriate and stable. The patient is looking for his call light and then readjusts the bed to lie flat.,/data/video_narration/2023_05_09_heather/clip_09/rt.mp4
60,495, The patient is looking for his call light and then readjusts the bed to lie flat., The patient is appropriate and stable. The patient is looking for his call light and then readjusts the bed to lie flat.,/data/video_narration/2023_05_09_heather/clip_09/rt.mp4
0,146, The nurse is entering the room with another nurse to look at the patient's skin and assess., The nurse is entering the room with another nurse to look at the patient's skin and assess it. The nurse removes the Mepilex to take a look underneath it and puts it back into place. The nurse is then checking the drips.,/data/video_narration/2023_05_09_heather/clip_10/rt.mp4
146,279, The nurse removes the Meblex to take a look underneath it and replaces it., The nurse is entering the room with another nurse to look at the patient's skin and assess it. The nurse removes the Mepilex to take a look underneath it and puts it back into place. The nurse is then checking the drips.,/data/video_narration/2023_05_09_heather/clip_10/rt.mp4
279,474, The nurse is then checking the drips., The nurse is entering the room with another nurse to look at the patient's skin and assess it. The nurse removes the Mepilex to take a look underneath it and puts it back into place. The nurse is then checking the drips.,/data/video_narration/2023_05_09_heather/clip_10/rt.mp4
0,91, The patient is stable and sitting up in bed., The patient is stable and sitting up in bed. The nurse is doing a EKG on the patient.,/data/video_narration/2023_05_09_heather/clip_11/rt.mp4
91,466, The nurse is doing a EKG on the patient., The patient is stable and sitting up in bed. The nurse is doing a EKG on the patient.,/data/video_narration/2023_05_09_heather/clip_11/rt.mp4
0,255, The patient is stable lying in bed. The nurse is performing an EKG and an ultrasound provider is in the room preparing to ultrasound the patient., The patient is stable lying in bed at a less than 30 degree angle. The nurse is performing an EKG and a provider with an ultrasound is in the room preparing to ultrasound the patient.,/data/video_narration/2023_05_09_heather/clip_12/rt.mp4
0,75, The patient is sitting up in bed and is stable at this time., The patient is sitting up in bed and is stable at this time. The nurse is finishing the EKG and the ultrasound tech is moving to the bedside to perform an ultrasound exam.,/data/video_narration/2023_05_09_heather/clip_13/rt.mp4
80,145, The nurse is finishing the EKG and the ultrasound tech, The patient is sitting up in bed and is stable at this time. The nurse is finishing the EKG and the ultrasound tech is moving to the bedside to perform an ultrasound exam.,/data/video_narration/2023_05_09_heather/clip_13/rt.mp4
145,460, is moving to the bedside to perform an ultrasound exam., The patient is sitting up in bed and is stable at this time. The nurse is finishing the EKG and the ultrasound tech is moving to the bedside to perform an ultrasound exam.,/data/video_narration/2023_05_09_heather/clip_13/rt.mp4
0,120, The patient is sitting up in bed and is currently stable., The patient is sitting up in bed and is currently stable. The ultrasound tech is providing an ultrasound to the patient. The nurse is administering medications to the patient.,/data/video_narration/2023_05_09_heather/clip_14/rt.mp4
120,250, The ultrasound tech is continuing to ultrasound the patient and the nurse is administering, The patient is sitting up in bed and is currently stable. The ultrasound tech is providing an ultrasound to the patient. The nurse is administering medications to the patient.,/data/video_narration/2023_05_09_heather/clip_14/rt.mp4
250,475, medications to the patient., The patient is sitting up in bed and is currently stable. The ultrasound tech is providing an ultrasound to the patient. The nurse is administering medications to the patient.,/data/video_narration/2023_05_09_heather/clip_14/rt.mp4
0,78, The patient is resting in bed and is stable.," The patient is resting in bed and is stable. The patient is having an ultrasound done on his chest, likely of his heart.",/data/video_narration/2023_05_09_heather/clip_15/rt.mp4
78,453, The patient is having an ultrasound done likely of his heart.," The patient is resting in bed and is stable. The patient is having an ultrasound done on his chest, likely of his heart.",/data/video_narration/2023_05_09_heather/clip_15/rt.mp4
0,122, The patient is sitting up in bed in no acute distress. It appears at this time, The patient is sitting up in bed in no acute distress. The nurse is administering medication through the patient's IV line.,/data/video_narration/2023_05_09_heather/clip_16/rt.mp4
122,454, the nurse is administering medication that is due., The patient is sitting up in bed in no acute distress. The nurse is administering medication through the patient's IV line.,/data/video_narration/2023_05_09_heather/clip_16/rt.mp4
0,186, The patient is lying down in bed comfortably when the team comes in to speak with him., The patient is lying down in bed comfortably when a medical team comes in to speak with him. They are rounding at this time and assessing the patient.,/data/video_narration/2023_05_09_heather/clip_17/rt.mp4
186,471, They are rounding at this time., The patient is lying down in bed comfortably when a medical team comes in to speak with him. They are rounding at this time and assessing the patient.,/data/video_narration/2023_05_09_heather/clip_17/rt.mp4
0,86, The nurse is doing an EKG., The nurse is doing an EKG. The patient is stable. The nurse is likely preparing for a blood draw requiring ice.,/data/video_narration/2023_05_09_heather/clip_18/rt.mp4
86,131, The patient is stable., The nurse is doing an EKG. The patient is stable. The nurse is likely preparing for a blood draw requiring ice.,/data/video_narration/2023_05_09_heather/clip_18/rt.mp4
131,506, The nurse appears to also be preparing for a blood draw requiring ice., The nurse is doing an EKG. The patient is stable. The nurse is likely preparing for a blood draw requiring ice.,/data/video_narration/2023_05_09_heather/clip_18/rt.mp4
0,88, The patient is lying down in bed stable.," The patient is lying down in bed, stable. The nurse is conducting a blood draw through the arterial line.",/data/video_narration/2023_05_09_heather/clip_19/rt.mp4
88,463, The nurse is conducting a blood draw.," The patient is lying down in bed, stable. The nurse is conducting a blood draw through the arterial line.",/data/video_narration/2023_05_09_heather/clip_19/rt.mp4
0,94, The nurse is providing a urinal for the patient to use., The nurse is providing a urinal for the patient to use. The patient is stable and in no distress.,/data/video_narration/2023_05_09_heather/clip_20/rt.mp4
0,98, The patient is stable and in no acute distress. The patient is readjusting,The patient is stable and in no acute distress. The patient is readjusting himself to use the urinal.,/data/video_narration/2023_05_09_heather/clip_21/rt.mp4
98,458, himself to use the urinal.,The patient is stable and in no acute distress. The patient is readjusting himself to use the urinal.,/data/video_narration/2023_05_09_heather/clip_21/rt.mp4
0,75, The patient is sitting up in bed in no acute distress., The patient is sitting up in bed in no acute distress. The nurse brings supplies to the patient so that the patient can use the urinal unassisted. ,/data/video_narration/2023_05_09_heather/clip_22/rt.mp4
75,510, The patient is using the urinal with assistance from the nurse., The patient is sitting up in bed in no acute distress. The nurse brings supplies to the patient so that the patient can use the urinal unassisted. ,/data/video_narration/2023_05_09_heather/clip_22/rt.mp4
0,193, The patient appears to be post procedure of procedure.,,/data/video_narration/2023_05_09_julie/clip_01/rt.mp4
0,49, Nothing to add to the clinical summary., Nothing to add to the clinical summary.,/data/video_narration/2023_05_09_julie/clip_02/rt.mp4
0,50, Nothing notable., Nothing notable.,/data/video_narration/2023_05_09_julie/clip_03/rt.mp4
0,30, Nothing notable., Nothing notable.,/data/video_narration/2023_05_09_julie/clip_04/rt.mp4
0,30, Nothing notable., Nothing notable.,/data/video_narration/2023_05_09_julie/clip_05/rt.mp4
0,30, Nothing notable., Nothing notable.,/data/video_narration/2023_05_09_julie/clip_06/rt.mp4
0,95, The patient is alert and calm and has been weaned off the non-rear mask.," The patient is alert and calm and has been weaned off the non-rear mask. Labs have been sent, pending results. The patient remains alert and calm.",/data/video_narration/2023_05_09_julie/clip_07/rt.mp4
95,175," Labs have been sent, pending results."," The patient is alert and calm and has been weaned off the non-rear mask. Labs have been sent, pending results. The patient remains alert and calm.",/data/video_narration/2023_05_09_julie/clip_07/rt.mp4
175,455, The patient remains alert and calm.," The patient is alert and calm and has been weaned off the non-rear mask. Labs have been sent, pending results. The patient remains alert and calm.",/data/video_narration/2023_05_09_julie/clip_07/rt.mp4
0,30, Nothing notable., Nothing notable.,/data/video_narration/2023_05_09_julie/clip_08/rt.mp4
0,30, Nothing to add., Nothing to add.,/data/video_narration/2023_05_09_julie/clip_09/rt.mp4
0,90, It does appear in this video slightly difficult to tell what the nurse was trying to accomplish, It does appear in this video slightly difficult to tell what the nurse was trying to accomplish or what the nurse was trying to change in the bed setting.,/data/video_narration/2023_05_09_julie/clip_19/rt.mp4
90,465, or what the nurse was trying to change in the bed setting., It does appear in this video slightly difficult to tell what the nurse was trying to accomplish or what the nurse was trying to change in the bed setting.,/data/video_narration/2023_05_09_julie/clip_19/rt.mp4
0,30, Thank you., Thank you.,/data/video_narration/2023_05_09_lo/clip_01/rt.mp4
0,60, The patient had an echocardiogram done., The patient had an echocardiogram done.,/data/video_narration/2023_05_09_lo/clip_02/rt.mp4
0,45, No reportable events., No reportable events.,/data/video_narration/2023_05_09_lo/clip_03/rt.mp4
0,52, The patient got a chest x-ray today., The patient got a chest x-ray today.,/data/video_narration/2023_05_09_lo/clip_04/rt.mp4
0,60, No reportable events., No reportable events.,/data/video_narration/2023_05_09_lo/clip_05/rt.mp4
0,30, No reportable events., No reportable events.,/data/video_narration/2023_05_09_lo/clip_06/rt.mp4
0,45, No reportable events., No reportable events.,/data/video_narration/2023_05_09_lo/clip_07/rt.mp4
0,130, And appears to be returning from a procedure off unit., the patient appears to be returning from a procedure off unit. The two staff members in gray scrubs are nurses. The first person who was already in the room at the beginning of the video is a respiratory therapist. And the other two staff members with blue OR caps on are likely to be anesthesiologists or procedure lists who were in the OR with the patient.,/data/video_narration/2023_05_09_trish/clip_01/rt.mp4
130,210, The two staff members in gray scrubs are nurses., the patient appears to be returning from a procedure off unit. The two staff members in gray scrubs are nurses. The first person who was already in the room at the beginning of the video is a respiratory therapist. And the other two staff members with blue OR caps on are likely to be anesthesiologists or procedure lists who were in the OR with the patient.,/data/video_narration/2023_05_09_trish/clip_01/rt.mp4
210,281, The first person who was already in the room at the beginning of the video is a respiratory, the patient appears to be returning from a procedure off unit. The two staff members in gray scrubs are nurses. The first person who was already in the room at the beginning of the video is a respiratory therapist. And the other two staff members with blue OR caps on are likely to be anesthesiologists or procedure lists who were in the OR with the patient.,/data/video_narration/2023_05_09_trish/clip_01/rt.mp4
281,302, therapist., the patient appears to be returning from a procedure off unit. The two staff members in gray scrubs are nurses. The first person who was already in the room at the beginning of the video is a respiratory therapist. And the other two staff members with blue OR caps on are likely to be anesthesiologists or procedure lists who were in the OR with the patient.,/data/video_narration/2023_05_09_trish/clip_01/rt.mp4
302,445, And the other two staff members with blue OR caps on are likely to be anesthesiologists, the patient appears to be returning from a procedure off unit. The two staff members in gray scrubs are nurses. The first person who was already in the room at the beginning of the video is a respiratory therapist. And the other two staff members with blue OR caps on are likely to be anesthesiologists or procedure lists who were in the OR with the patient.,/data/video_narration/2023_05_09_trish/clip_01/rt.mp4
445,895, or procedure lists who were in the OR with the patient., the patient appears to be returning from a procedure off unit. The two staff members in gray scrubs are nurses. The first person who was already in the room at the beginning of the video is a respiratory therapist. And the other two staff members with blue OR caps on are likely to be anesthesiologists or procedure lists who were in the OR with the patient.,/data/video_narration/2023_05_09_trish/clip_01/rt.mp4
0,165," The patient appears to have just returned from an operation, and it is fairly typical"," The patient appears to have just returned from an operation, and it is fairly typical for the patient to be unresponsive when they return because of heavy sedation.",/data/video_narration/2023_05_09_trish/clip_02/rt.mp4
165,458, for the patient to be unresponsive when they return because of heavy sedation.," The patient appears to have just returned from an operation, and it is fairly typical for the patient to be unresponsive when they return because of heavy sedation.",/data/video_narration/2023_05_09_trish/clip_02/rt.mp4
0,160," It's typical for there to be a flurry of activity once a patient returns from OR, which the"," It's typical for there to be a flurry of activity once a patient returns from OR, which the patient appears to have either OR or a procedure where he has needed to be sedated. The respiratory therapist is managing the ventilator, ensuring that the patient is getting oxygenated sufficiently. The next nurse should know that the patient has just recently returned from a procedure and remains intubated and sedated.",/data/video_narration/2023_05_09_trish/clip_03/rt.mp4
160,300, patient appears to have either OR or a procedure where he has needed to be sedated.," It's typical for there to be a flurry of activity once a patient returns from OR, which the patient appears to have either OR or a procedure where he has needed to be sedated. The respiratory therapist is managing the ventilator, ensuring that the patient is getting oxygenated sufficiently. The next nurse should know that the patient has just recently returned from a procedure and remains intubated and sedated.",/data/video_narration/2023_05_09_trish/clip_03/rt.mp4
300,428," The respiratory therapist is managing the ventilator, ensuring that the patient is getting"," It's typical for there to be a flurry of activity once a patient returns from OR, which the patient appears to have either OR or a procedure where he has needed to be sedated. The respiratory therapist is managing the ventilator, ensuring that the patient is getting oxygenated sufficiently. The next nurse should know that the patient has just recently returned from a procedure and remains intubated and sedated.",/data/video_narration/2023_05_09_trish/clip_03/rt.mp4
428,549, oxygenated sufficiently. The next nurse should know that the patient has just," It's typical for there to be a flurry of activity once a patient returns from OR, which the patient appears to have either OR or a procedure where he has needed to be sedated. The respiratory therapist is managing the ventilator, ensuring that the patient is getting oxygenated sufficiently. The next nurse should know that the patient has just recently returned from a procedure and remains intubated and sedated.",/data/video_narration/2023_05_09_trish/clip_03/rt.mp4
549,889, recently returned from a procedure and remains intubated and sedated.," It's typical for there to be a flurry of activity once a patient returns from OR, which the patient appears to have either OR or a procedure where he has needed to be sedated. The respiratory therapist is managing the ventilator, ensuring that the patient is getting oxygenated sufficiently. The next nurse should know that the patient has just recently returned from a procedure and remains intubated and sedated.",/data/video_narration/2023_05_09_trish/clip_03/rt.mp4
0,132," The patient has just returned from a procedure, likely from the operating room.","The patient has just returned from a procedure, likely from the operating room. He remains intubated and sedated. He may be still chemically paralyzed or is just heavily, heavily sedated, hence the RASS -5. ",/data/video_narration/2023_05_09_trish/clip_04/rt.mp4
132,172, He remains intubated and sedated.,"The patient has just returned from a procedure, likely from the operating room. He remains intubated and sedated. He may be still chemically paralyzed or is just heavily, heavily sedated, hence the RASS -5. ",/data/video_narration/2023_05_09_trish/clip_04/rt.mp4
172,303," He may be still chemically paralyzed or is just heavily, heavily sedated, hence the RAS-5.","The patient has just returned from a procedure, likely from the operating room. He remains intubated and sedated. He may be still chemically paralyzed or is just heavily, heavily sedated, hence the RASS -5. ",/data/video_narration/2023_05_09_trish/clip_04/rt.mp4
303,628, maintain ant production and,"The patient has just returned from a procedure, likely from the operating room. He remains intubated and sedated. He may be still chemically paralyzed or is just heavily, heavily sedated, hence the RASS -5. ",/data/video_narration/2023_05_09_trish/clip_04/rt.mp4
628,649, vital signs.,"The patient has just returned from a procedure, likely from the operating room. He remains intubated and sedated. He may be still chemically paralyzed or is just heavily, heavily sedated, hence the RASS -5. ",/data/video_narration/2023_05_09_trish/clip_04/rt.mp4
0,189, The patient is post-procedure and remains intubated and sedated., The patient is post-procedure and remains intubated and sedated. He has two chest tubes that are to water seal at this time. He is being ventilated. He has an ace bandage wrapped around his right leg. And he has a pacemaker.,/data/video_narration/2023_05_09_trish/clip_05/rt.mp4
189,309, He has two chest tubes that are to water seal at this time., The patient is post-procedure and remains intubated and sedated. He has two chest tubes that are to water seal at this time. He is being ventilated. He has an ace bandage wrapped around his right leg. And he has a pacemaker.,/data/video_narration/2023_05_09_trish/clip_05/rt.mp4
309,345, He is being ventilated., The patient is post-procedure and remains intubated and sedated. He has two chest tubes that are to water seal at this time. He is being ventilated. He has an ace bandage wrapped around his right leg. And he has a pacemaker.,/data/video_narration/2023_05_09_trish/clip_05/rt.mp4
345,471, He has an ace bandage wrapped around his right leg., The patient is post-procedure and remains intubated and sedated. He has two chest tubes that are to water seal at this time. He is being ventilated. He has an ace bandage wrapped around his right leg. And he has a pacemaker.,/data/video_narration/2023_05_09_trish/clip_05/rt.mp4
471,802, And he has a pacemaker., The patient is post-procedure and remains intubated and sedated. He has two chest tubes that are to water seal at this time. He is being ventilated. He has an ace bandage wrapped around his right leg. And he has a pacemaker.,/data/video_narration/2023_05_09_trish/clip_05/rt.mp4
0,190, The patient is sedated and intubated and is a RAS-5.,"The patient is sedated and intubated and is a RASS -5. There are multiple nurses in the room. At the beginning, the x-ray machine was pulled out of the room. The patient has two chest tubes to his anterior chest. The patient may be about to receive blood products. He has a pacer box that is attached to him.",/data/video_narration/2023_05_09_trish/clip_07/rt.mp4
190,254, There are multiple nurses in the room.,"The patient is sedated and intubated and is a RASS -5. There are multiple nurses in the room. At the beginning, the x-ray machine was pulled out of the room. The patient has two chest tubes to his anterior chest. The patient may be about to receive blood products. He has a pacer box that is attached to him.",/data/video_narration/2023_05_09_trish/clip_07/rt.mp4
254,365," At the beginning, the x-ray machine was pulled out of the room.","The patient is sedated and intubated and is a RASS -5. There are multiple nurses in the room. At the beginning, the x-ray machine was pulled out of the room. The patient has two chest tubes to his anterior chest. The patient may be about to receive blood products. He has a pacer box that is attached to him.",/data/video_narration/2023_05_09_trish/clip_07/rt.mp4
365,457, The patient has two chest tubes to his anterior chest.,"The patient is sedated and intubated and is a RASS -5. There are multiple nurses in the room. At the beginning, the x-ray machine was pulled out of the room. The patient has two chest tubes to his anterior chest. The patient may be about to receive blood products. He has a pacer box that is attached to him.",/data/video_narration/2023_05_09_trish/clip_07/rt.mp4
457,554, The patient may be about to receive blood products.,"The patient is sedated and intubated and is a RASS -5. There are multiple nurses in the room. At the beginning, the x-ray machine was pulled out of the room. The patient has two chest tubes to his anterior chest. The patient may be about to receive blood products. He has a pacer box that is attached to him.",/data/video_narration/2023_05_09_trish/clip_07/rt.mp4
554,833, He has a pacer box that is attached to him.,"The patient is sedated and intubated and is a RASS -5. There are multiple nurses in the room. At the beginning, the x-ray machine was pulled out of the room. The patient has two chest tubes to his anterior chest. The patient may be about to receive blood products. He has a pacer box that is attached to him.",/data/video_narration/2023_05_09_trish/clip_07/rt.mp4
0,214, The patient is post procedure and maybe hypotensive based on the actions of the physician.,"The patient is post procedure and may be hypotensive based on the actions of the physician. The nurses appear to have called the physician to the bedside. When the physician came to bedside, he performed a passive leg raise maneuver, which helps determine, among other things, if the patient is hypovolemic. The physician also put the patient in reverse Trendelenburg, which is actually contraindicated. He would want to put the patient in Trendelenburg position if they are hypotensive.",/data/video_narration/2023_05_09_trish/clip_08/rt.mp4
214,343, The nurses appear to have called the physician to the bedside.,"The patient is post procedure and may be hypotensive based on the actions of the physician. The nurses appear to have called the physician to the bedside. When the physician came to bedside, he performed a passive leg raise maneuver, which helps determine, among other things, if the patient is hypovolemic. The physician also put the patient in reverse Trendelenburg, which is actually contraindicated. He would want to put the patient in Trendelenburg position if they are hypotensive.",/data/video_narration/2023_05_09_trish/clip_08/rt.mp4
343,520," When the physician came to bedside, he performed a passive leg raise maneuver,","The patient is post procedure and may be hypotensive based on the actions of the physician. The nurses appear to have called the physician to the bedside. When the physician came to bedside, he performed a passive leg raise maneuver, which helps determine, among other things, if the patient is hypovolemic. The physician also put the patient in reverse Trendelenburg, which is actually contraindicated. He would want to put the patient in Trendelenburg position if they are hypotensive.",/data/video_narration/2023_05_09_trish/clip_08/rt.mp4
520,675," which helps determine, among other things, if the patient is hypovolemic.","The patient is post procedure and may be hypotensive based on the actions of the physician. The nurses appear to have called the physician to the bedside. When the physician came to bedside, he performed a passive leg raise maneuver, which helps determine, among other things, if the patient is hypovolemic. The physician also put the patient in reverse Trendelenburg, which is actually contraindicated. He would want to put the patient in Trendelenburg position if they are hypotensive.",/data/video_narration/2023_05_09_trish/clip_08/rt.mp4
675,824," The physician also put the patient in reverse Trendelenburg, which is actually contraindicated.","The patient is post procedure and may be hypotensive based on the actions of the physician. The nurses appear to have called the physician to the bedside. When the physician came to bedside, he performed a passive leg raise maneuver, which helps determine, among other things, if the patient is hypovolemic. The physician also put the patient in reverse Trendelenburg, which is actually contraindicated. He would want to put the patient in Trendelenburg position if they are hypotensive.",/data/video_narration/2023_05_09_trish/clip_08/rt.mp4
824,1135, He would want to put the patient in Trendelenburg position if they are hypotensive.,"The patient is post procedure and may be hypotensive based on the actions of the physician. The nurses appear to have called the physician to the bedside. When the physician came to bedside, he performed a passive leg raise maneuver, which helps determine, among other things, if the patient is hypovolemic. The physician also put the patient in reverse Trendelenburg, which is actually contraindicated. He would want to put the patient in Trendelenburg position if they are hypotensive.",/data/video_narration/2023_05_09_trish/clip_08/rt.mp4
0,222," The patient is likely hypothermic, hence the nurse is getting ready to place a bear hugger"," The patient is likely hypothermic, hence the nurses getting ready to place a bair hugger blanket or a blanket warmer onto the patient.",/data/video_narration/2023_05_09_trish/clip_09/rt.mp4
222,332, blanket or a blanket warmer onto the patient.," The patient is likely hypothermic, hence the nurses getting ready to place a bair hugger blanket or a blanket warmer onto the patient.",/data/video_narration/2023_05_09_trish/clip_09/rt.mp4
332,460, The patient is likely also hypothermic.," The patient is likely hypothermic, hence the nurses getting ready to place a bair hugger blanket or a blanket warmer onto the patient.",/data/video_narration/2023_05_09_trish/clip_09/rt.mp4
0,234," The patient is hypothermic, hence the warming blanket.","The patient is hypothermic, hence the warming blanket. The patient has also woken up abruptly, though appears to be following commands and is redirectable.",/data/video_narration/2023_05_09_trish/clip_10/rt.mp4
234,399," The patient has also woken up abruptly, though appears to be following commands and is redirectable.","The patient is hypothermic, hence the warming blanket. The patient has also woken up abruptly, though appears to be following commands and is redirectable.",/data/video_narration/2023_05_09_trish/clip_10/rt.mp4
399,503," The patient isbenching, and his hands have neuen Gadus branded cargo in black, white and red.","The patient is hypothermic, hence the warming blanket. The patient has also woken up abruptly, though appears to be following commands and is redirectable.",/data/video_narration/2023_05_09_trish/clip_10/rt.mp4
503,603," At the dentist, the cast-off mang閉 the cast sparks acid storesénti to affect him.","The patient is hypothermic, hence the warming blanket. The patient has also woken up abruptly, though appears to be following commands and is redirectable.",/data/video_narration/2023_05_09_trish/clip_10/rt.mp4
603,819," The patient's assignment is taking an IV sample of分享-, a","The patient is hypothermic, hence the warming blanket. The patient has also woken up abruptly, though appears to be following commands and is redirectable.",/data/video_narration/2023_05_09_trish/clip_10/rt.mp4
0,75, Thank you.,,/data/video_narration/2023_05_09_trish/clip_11/rt.mp4
0,232," This patient appears to probably be post-operative. The patient is likely hypothermic, hence the bear"," This patient appears to probably be post-operative. The patient is likely hypothermic, hence the bair hugger and blanket. This is also evidenced by one of the female nurses attempting to take the patient's oral temperature for a time that's longer than usual. Eventually, a male nurse brought in an esophageal temperature probe which takes a patient's core temperature.",/data/video_narration/2023_05_09_trish/clip_13/rt.mp4
232,390, hugger and blanket. This is also evidenced by one of the female nurses attempting to take the," This patient appears to probably be post-operative. The patient is likely hypothermic, hence the bair hugger and blanket. This is also evidenced by one of the female nurses attempting to take the patient's oral temperature for a time that's longer than usual. Eventually, a male nurse brought in an esophageal temperature probe which takes a patient's core temperature.",/data/video_narration/2023_05_09_trish/clip_13/rt.mp4
390,514," patient's oral temperature for a time that's longer than usual. Eventually, a male nurse"," This patient appears to probably be post-operative. The patient is likely hypothermic, hence the bair hugger and blanket. This is also evidenced by one of the female nurses attempting to take the patient's oral temperature for a time that's longer than usual. Eventually, a male nurse brought in an esophageal temperature probe which takes a patient's core temperature.",/data/video_narration/2023_05_09_trish/clip_13/rt.mp4
514,850, brought in an esophageal temperature probe which takes a patient's core temperature.," This patient appears to probably be post-operative. The patient is likely hypothermic, hence the bair hugger and blanket. This is also evidenced by one of the female nurses attempting to take the patient's oral temperature for a time that's longer than usual. Eventually, a male nurse brought in an esophageal temperature probe which takes a patient's core temperature.",/data/video_narration/2023_05_09_trish/clip_13/rt.mp4
0,129," The nurse is having a hard time taking the patient's temperature orally, probably because"," The nurse is having a hard time taking the patient's temperature orally, probably because he is hypothermic. This is also the reason why the patient has a Bair hugger on. The other nurse is taking blood samples from the patient to test his blood sugar and run it on the iSTAT machine, which checks his arterial or venous blood gases.",/data/video_narration/2023_05_09_trish/clip_15/rt.mp4
129,161, he is hypothermic.," The nurse is having a hard time taking the patient's temperature orally, probably because he is hypothermic. This is also the reason why the patient has a Bair hugger on. The other nurse is taking blood samples from the patient to test his blood sugar and run it on the iSTAT machine, which checks his arterial or venous blood gases.",/data/video_narration/2023_05_09_trish/clip_15/rt.mp4
